Gene,B-A_FC,B-A_logFC,B-A_tstat,B-A_pval,B-A_adjpval,C-A_FC,C-A_logFC,C-A_tstat,C-A_pval,C-A_adjpval,B-C_FC,B-C_logFC,B-C_tstat,B-C_pval,B-C_adjpval
Hat1,-1.37,-0.456,-1.92,0.081,0.426,-2.14,-1.1,-4.0,0.00204,0.0301,1.56,0.644,2.3,0.0414,0.22
Heca,-1.61,-0.684,-1.36,0.199,0.6,2.76,1.46,3.71,0.0034,0.0405,-4.43,-2.15,-4.63,7.09E-4,0.0246
Hectd1,1.81,0.86,2.55,0.0269,0.268,3.78,1.92,5.86,1.03E-4,0.00456,-2.09,-1.06,-3.66,0.00368,0.063
Hells,-1.9,-0.923,-2.45,0.0322,0.291,-4.0,-2.0,-4.25,0.00132,0.0226,2.11,1.08,2.19,0.0506,0.242
Herc4,1.13,0.175,0.476,0.643,0.888,3.52,1.82,5.34,2.28E-4,0.00786,-3.12,-1.64,-5.1,3.28E-4,0.0155
Hes6,-1.51,-0.598,-2.69,0.0207,0.241,-3.25,-1.7,-6.15,6.82E-5,0.00352,2.15,1.1,3.87,0.00255,0.0509
Hif1a,1.98,0.983,4.33,0.00116,0.0579,2.78,1.47,6.48,4.3E-5,0.00263,-1.41,-0.491,-2.5,0.0291,0.184
Hipk2,2.74,1.45,3.33,0.00661,0.136,-1.32,-0.395,-0.762,0.462,0.685,3.61,1.85,3.9,0.00242,0.0498
Hk1,-1.55,-0.629,-2.17,0.0525,0.352,1.53,0.612,2.22,0.0479,0.193,-2.36,-1.24,-4.38,0.00106,0.0309
Hmga1,-1.22,-0.283,-0.998,0.339,0.724,-3.67,-1.88,-5.03,3.72E-4,0.0104,3.02,1.59,4.18,0.00148,0.0382
Hmgb3,-1.29,-0.368,-1.44,0.177,0.577,-3.49,-1.8,-5.58,1.58E-4,0.00622,2.71,1.44,4.33,0.00116,0.033
Hmha1,1.94,0.959,3.93,0.00229,0.0825,2.36,1.24,4.98,4.0E-4,0.0106,-1.21,-0.278,-1.24,0.24,0.518
Hn1l,-1.79,-0.841,-3.7,0.00344,0.102,-2.75,-1.46,-5.56,1.61E-4,0.00634,1.54,0.621,2.27,0.0437,0.226
Hnrnpa1,-1.08,-0.112,-0.807,0.437,0.786,-3.03,-1.6,-9.18,1.57E-6,2.98E-4,2.8,1.49,8.48,3.44E-6,7.27E-4
Hnrnpab,-1.09,-0.126,-0.837,0.42,0.774,-2.2,-1.14,-6.49,4.26E-5,0.00263,2.02,1.01,5.76,1.2E-4,0.00776
Hnrnpdl,-1.33,-0.412,-1.26,0.232,0.638,-4.7,-2.23,-4.82,5.14E-4,0.0127,3.53,1.82,3.85,0.00266,0.0522
Hnrnpll,1.32,0.404,1.21,0.251,0.656,3.57,1.84,5.84,1.07E-4,0.00464,-2.7,-1.43,-5.04,3.65E-4,0.017
Hp,42.4,5.41,3.36,0.00621,0.133,4.01,2.01,1.27,0.229,0.47,10.6,3.4,5.86,1.04E-4,0.00726
Hspbp1,-2.12,-1.08,-3.61,0.00399,0.11,-2.86,-1.51,-4.36,0.00109,0.0202,1.35,0.433,1.18,0.263,0.537
Hvcn1,3.82,1.93,4.86,4.86E-4,0.0328,3.53,1.82,4.48,9.07E-4,0.0181,1.08,0.117,0.383,0.709,0.86
Ibtk,-1.29,-0.372,-1.1,0.293,0.694,-4.09,-2.03,-4.51,8.6E-4,0.0173,3.16,1.66,3.59,0.00418,0.0676
Id2,48.0,5.59,10.9,2.69E-7,2.05E-4,116.0,6.86,13.6,2.86E-8,4.85E-5,-2.42,-1.27,-9.36,1.3E-6,4.29E-4
Idh2,-1.21,-0.272,-1.59,0.14,0.526,-3.87,-1.95,-8.84,2.29E-6,3.55E-4,3.2,1.68,7.46,1.17E-5,0.00154
Idh3g,-1.39,-0.473,-2.45,0.0322,0.291,-2.23,-1.15,-5.19,2.87E-4,0.00879,1.6,0.682,3.01,0.0117,0.114
Ifitm2,-4.27,-2.09,-6.19,6.42E-5,0.00955,-17.0,-4.09,-4.66,6.7E-4,0.0148,3.99,2.0,2.19,0.0511,0.243
Ifnar2,-1.42,-0.508,-1.98,0.073,0.405,-2.4,-1.26,-4.19,0.00146,0.0243,1.69,0.754,2.45,0.0319,0.193
Ifngr1,-1.13,-0.18,-0.782,0.45,0.794,3.8,1.93,9.2,1.54E-6,2.98E-4,-4.31,-2.11,-10.2,5.51E-7,2.47E-4
Ighm,-2.71,-1.44,-7.67,9.07E-6,0.00246,-4.29,-2.1,-9.52,1.09E-6,2.59E-4,1.58,0.662,2.8,0.0169,0.14
Il10ra,1.14,0.186,0.695,0.501,0.818,-5.14,-2.36,-5.02,3.75E-4,0.0104,5.85,2.55,5.31,2.38E-4,0.0127
Il10rb,-5.22,-2.38,-5.51,1.76E-4,0.0172,-8.08,-3.01,-5.38,2.14E-4,0.00754,1.55,0.63,0.977,0.349,0.615
Il16,-2.15,-1.1,-5.01,3.83E-4,0.0295,-1.24,-0.311,-1.44,0.179,0.407,-1.73,-0.793,-3.43,0.00555,0.078
Il17ra,-3.5,-1.81,-8.72,2.6E-6,0.00124,-2.12,-1.08,-5.3,2.41E-4,0.00809,-1.65,-0.726,-3.16,0.00896,0.101
Il17rb,1.22,0.292,0.508,0.621,0.88,18.5,4.21,8.46,3.53E-6,4.41E-4,-15.1,-3.92,-9.46,1.17E-6,4.05E-4
Il18r1,2.74,1.46,0.822,0.429,0.781,37.4,5.22,2.96,0.0129,0.0869,-13.6,-3.77,-6.43,4.58E-5,0.00411
Il27ra,1.63,0.702,1.37,0.198,0.598,8.27,3.05,6.55,3.9E-5,0.00258,-5.08,-2.35,-5.86,1.04E-4,0.00726
Il2rg,1.38,0.461,1.52,0.156,0.55,7.62,2.93,10.6,3.76E-7,1.59E-4,-5.53,-2.47,-10.1,6.24E-7,2.5E-4
Il6st,-4.39,-2.13,-3.21,0.00813,0.15,-13.8,-3.79,-6.91,2.39E-5,0.00194,3.15,1.65,2.11,0.0582,0.258
Il7r,-2.84,-1.51,-1.49,0.164,0.56,5.74,2.52,5.74,1.24E-4,0.00524,-16.3,-4.03,-3.93,0.00228,0.0483
Inpp5f,-1.99,-0.996,-2.09,0.0605,0.374,-4.05,-2.02,-3.59,0.00415,0.0459,2.03,1.02,1.7,0.117,0.368
Ints1,-1.51,-0.591,-2.56,0.0263,0.267,-3.13,-1.65,-5.73,1.26E-4,0.0053,2.08,1.06,3.58,0.00424,0.0682
Ipo11,-1.83,-0.872,-3.18,0.00862,0.155,1.16,0.218,0.837,0.42,0.654,-2.13,-1.09,-3.98,0.0021,0.0464
Irf8,-1.23,-0.297,-1.52,0.156,0.55,-14.2,-3.83,-10.1,6.12E-7,2.03E-4,11.6,3.53,8.99,1.93E-6,5.39E-4
Irgm1,-1.97,-0.978,-3.36,0.00625,0.133,1.26,0.333,1.24,0.242,0.485,-2.48,-1.31,-4.54,8.16E-4,0.0266
Irgm2,1.48,0.567,1.23,0.244,0.649,4.38,2.13,4.89,4.63E-4,0.0118,-2.96,-1.56,-4.47,9.13E-4,0.0286
Itga4,4.38,2.13,10.7,3.22E-7,2.23E-4,1.61,0.684,3.12,0.00962,0.0737,2.72,1.45,7.67,9.01E-6,0.00127
Itgal,1.18,0.242,1.01,0.335,0.721,3.46,1.79,7.85,7.19E-6,7.94E-4,-2.92,-1.55,-7.27,1.5E-5,0.00182
Itgb2,3.05,1.61,4.46,9.41E-4,0.0491,5.02,2.33,6.52,4.08E-5,0.0026,-1.65,-0.72,-2.57,0.026,0.175
Itgb3,32.5,5.02,2.85,0.0157,0.208,352.0,8.46,4.78,5.52E-4,0.0131,-10.8,-3.44,-11.2,2.02E-7,1.72E-4
Itgb7,8.82,3.14,11.1,2.36E-7,2.0E-4,8.54,3.09,10.9,2.83E-7,1.51E-4,1.03,0.0458,0.242,0.813,0.913
Itm2c,2.04,1.03,3.98,0.00209,0.079,5.52,2.47,9.93,7.14E-7,2.27E-4,-2.71,-1.44,-7.17,1.7E-5,0.00202
Itpr2,2.75,1.46,1.69,0.118,0.495,12.3,3.62,4.34,0.00114,0.0209,-4.46,-2.16,-4.69,6.36E-4,0.0229
Jak1,2.13,1.09,5.9,9.84E-5,0.0118,3.18,1.67,9.03,1.85E-6,3.2E-4,-1.49,-0.575,-3.52,0.00473,0.0718
Jak2,2.08,1.06,2.74,0.0191,0.234,3.36,1.75,4.58,7.63E-4,0.0161,-1.61,-0.691,-2.1,0.0594,0.261
Jarid2,2.56,1.36,5.51,1.76E-4,0.0172,2.55,1.35,5.36,2.19E-4,0.00765,1.0,0.00347,0.0156,0.988,0.994
Kansl2,-1.05,-0.0653,-0.281,0.784,0.943,-2.41,-1.27,-4.44,9.58E-4,0.0188,2.31,1.21,4.21,0.00142,0.0373
Kbtbd2,1.08,0.114,0.461,0.654,0.893,2.05,1.03,4.3,0.00122,0.0217,-1.89,-0.92,-3.96,0.00217,0.0469
Kcnab2,1.53,0.617,2.46,0.0315,0.288,2.13,1.09,4.33,0.00117,0.0211,-1.39,-0.471,-2.09,0.0605,0.262
Kdm7a,3.13,1.65,2.2,0.05,0.346,7.76,2.96,4.02,0.00197,0.0297,-2.48,-1.31,-3.74,0.00322,0.0581
Klf6,1.38,0.468,1.19,0.259,0.663,2.79,1.48,3.91,0.00238,0.033,-2.02,-1.01,-3.12,0.00964,0.105
Klrb1f,2.77,1.47,3.78,0.00297,0.0952,2.83,1.5,3.79,0.00293,0.0371,-1.02,-0.0276,-0.0905,0.93,0.968
Laptm4b,-1.21,-0.275,-0.72,0.487,0.81,2.26,1.18,3.31,0.00679,0.0608,-2.74,-1.45,-4.14,0.00161,0.0398
Lasp1,1.69,0.755,3.91,0.00238,0.0834,2.06,1.04,5.3,2.43E-4,0.00809,-1.22,-0.287,-1.62,0.132,0.389
Lat2,1.77,0.822,3.52,0.00474,0.122,-3.48,-1.8,-5.3,2.43E-4,0.00809,6.16,2.62,7.74,8.22E-6,0.00119
Lcp2,1.27,0.349,0.97,0.353,0.732,5.06,2.34,7.12,1.82E-5,0.00163,-3.97,-1.99,-6.42,4.66E-5,0.00412
Ldb1,-1.32,-0.403,-1.31,0.216,0.621,1.95,0.965,3.36,0.0063,0.0578,-2.58,-1.37,-4.76,5.66E-4,0.0215
Leprotl1,-1.26,-0.331,-1.03,0.325,0.712,1.84,0.883,2.91,0.014,0.0915,-2.32,-1.21,-4.02,0.00196,0.0444
Lfng,1.17,0.226,0.532,0.605,0.873,3.01,1.59,3.99,0.00206,0.0303,-2.58,-1.37,-3.71,0.00339,0.0601
Lgals9,-3.54,-1.82,-7.14,1.76E-5,0.00383,-4.95,-2.31,-7.73,8.36E-6,8.96E-4,1.4,0.484,1.48,0.167,0.439
Limk1,1.94,0.953,2.63,0.023,0.252,-2.88,-1.52,-2.5,0.0292,0.142,5.57,2.48,4.02,0.00198,0.0445
Lmo4,4.65,2.22,4.94,4.28E-4,0.0305,67.8,6.08,14.1,1.94E-8,4.85E-5,-14.6,-3.87,-17.1,2.42E-9,1.84E-5
Lonp2,1.32,0.399,1.39,0.193,0.593,3.79,1.92,7.09,1.89E-5,0.00163,-2.87,-1.52,-6.19,6.43E-5,0.00527
Lpar6,1.61,0.69,1.83,0.0942,0.452,9.14,3.19,9.36,1.29E-6,2.85E-4,-5.67,-2.5,-8.4,3.75E-6,7.32E-4
Lpcat4,2.94,1.56,2.16,0.0531,0.352,8.56,3.1,4.4,0.00103,0.0196,-2.91,-1.54,-4.61,7.26E-4,0.0249
Lpxn,3.18,1.67,2.68,0.0212,0.243,14.1,3.82,6.35,5.17E-5,0.00299,-4.44,-2.15,-6.35,5.12E-5,0.00449
Lsm3,-2.35,-1.23,-4.98,3.98E-4,0.0299,-4.47,-2.16,-7.02,2.07E-5,0.00175,1.9,0.927,2.83,0.0162,0.136
Ltb,3.2,1.68,1.18,0.262,0.666,122.0,6.93,4.87,4.74E-4,0.012,-38.0,-5.25,-10.9,2.74E-7,1.9E-4
Ly6e,1.92,0.944,5.81,1.12E-4,0.0121,2.71,1.44,8.6,2.98E-6,4.21E-4,-1.41,-0.496,-3.36,0.00626,0.0833
Lyn,1.37,0.454,1.61,0.135,0.519,-2.3,-1.2,-3.39,0.00598,0.0562,3.15,1.65,4.76,5.69E-4,0.0215
Lyz2,-7.85,-2.97,-8.57,3.09E-6,0.00138,-3.3,-1.72,-6.13,7.02E-5,0.00352,-2.38,-1.25,-3.21,0.00811,0.0956
Lztfl1,-1.16,-0.209,-0.369,0.719,0.918,6.22,2.64,5.85,1.05E-4,0.00459,-7.19,-2.85,-5.8,1.13E-4,0.00745
Mafk,-2.02,-1.01,-3.54,0.00454,0.12,-2.89,-1.53,-4.57,7.76E-4,0.0163,1.43,0.517,1.47,0.169,0.441
Maged1,-9.14,-3.19,-2.51,0.0288,0.276,3.56,1.83,3.89,0.00245,0.0337,-32.6,-5.02,-3.91,0.00238,0.0495
Malat1,2.45,1.29,4.62,7.13E-4,0.0415,2.79,1.48,5.21,2.79E-4,0.00863,-1.14,-0.19,-0.77,0.457,0.703
Map2k1,-1.18,-0.24,-0.838,0.42,0.774,1.78,0.831,3.02,0.0115,0.0815,-2.1,-1.07,-3.97,0.00216,0.0469
Map3k3,1.29,0.371,1.35,0.203,0.606,2.5,1.32,4.98,3.99E-4,0.0106,-1.93,-0.952,-3.87,0.00254,0.0509
Map3k5,-3.1,-1.63,-3.25,0.00767,0.146,1.44,0.524,1.47,0.17,0.394,-4.46,-2.16,-4.26,0.0013,0.0354
Map4,-1.17,-0.23,-0.819,0.43,0.781,5.72,2.52,10.3,5.04E-7,1.75E-4,-6.71,-2.75,-11.6,1.46E-7,1.72E-4
Mapk9,-1.82,-0.863,-2.92,0.0137,0.192,1.31,0.389,1.42,0.184,0.414,-2.38,-1.25,-4.32,0.00118,0.0332
March2,1.86,0.898,2.15,0.0541,0.355,2.94,1.56,3.78,0.00297,0.0374,-1.58,-0.658,-1.84,0.0921,0.325
Marcksl1,1.23,0.304,1.53,0.153,0.545,-3.58,-1.84,-6.79,2.81E-5,0.00219,4.41,2.14,7.87,7.09E-6,0.0011
Marveld1,2.04,1.03,1.7,0.117,0.495,4.75,2.25,4.02,0.00198,0.0297,-2.33,-1.22,-2.39,0.0358,0.205
Mast4,1.34,0.424,0.585,0.57,0.851,5.94,2.57,4.09,0.00174,0.0273,-4.43,-2.15,-3.9,0.00243,0.0498
Mbd2,1.36,0.441,1.64,0.13,0.513,2.04,1.03,3.84,0.00268,0.0354,-1.5,-0.588,-2.39,0.0355,0.205
Mbp,1.12,0.163,0.415,0.686,0.904,2.76,1.46,3.94,0.00225,0.0319,-2.46,-1.3,-3.7,0.00342,0.0601
Mcm6,-1.56,-0.644,-6.16,6.77E-5,0.00955,-2.02,-1.01,-8.71,2.64E-6,3.94E-4,1.29,0.369,3.09,0.0101,0.106
Mcm7,-1.25,-0.32,-1.78,0.103,0.467,-2.38,-1.25,-5.95,9.05E-5,0.00421,1.91,0.934,4.39,0.00105,0.0306
Mdfic,5.74,2.52,1.85,0.0917,0.448,35.7,5.16,3.88,0.00251,0.034,-6.22,-2.64,-4.09,0.00174,0.0409
Med1,-1.1,-0.142,-0.37,0.718,0.918,-4.61,-2.2,-3.57,0.00433,0.047,4.18,2.06,3.26,0.00754,0.0925
Med12,1.09,0.125,0.308,0.763,0.935,3.37,1.75,4.65,6.82E-4,0.015,-3.09,-1.63,-4.78,5.54E-4,0.0214
Mef2c,-3.33,-1.73,-6.16,6.72E-5,0.00955,-19.7,-4.3,-8.57,3.11E-6,4.23E-4,5.91,2.56,4.85,4.94E-4,0.0205
Mef2d,-1.52,-0.606,-2.54,0.0271,0.269,-2.59,-1.37,-4.86,4.82E-4,0.0121,1.7,0.765,2.64,0.0228,0.165
Metap2,1.5,0.586,2.94,0.0132,0.19,-1.34,-0.419,-1.85,0.0907,0.276,2.01,1.01,4.61,7.3E-4,0.0249
Mettl4,-1.79,-0.838,-0.978,0.349,0.73,3.08,1.62,3.74,0.00317,0.0387,-5.51,-2.46,-2.88,0.0147,0.13
Mfn2,-1.58,-0.658,-2.57,0.0257,0.266,1.34,0.422,1.72,0.112,0.312,-2.11,-1.08,-4.31,0.00119,0.0332
Mgat1,-2.11,-1.08,-5.32,2.34E-4,0.0205,-5.06,-2.34,-8.9,2.14E-6,3.54E-4,2.4,1.26,4.59,7.55E-4,0.0254
Mgat4a,-1.54,-0.627,-1.56,0.148,0.537,2.21,1.14,3.23,0.0079,0.0662,-3.41,-1.77,-4.67,6.57E-4,0.0234
Mier3,-3.17,-1.66,-4.65,6.84E-4,0.041,-1.49,-0.573,-1.69,0.118,0.321,-2.13,-1.09,-2.86,0.0153,0.132
Mif4gd,4.3,2.1,4.88,4.68E-4,0.0325,3.25,1.7,3.86,0.00259,0.0347,1.32,0.403,1.26,0.232,0.512
Mis12,-1.36,-0.441,-1.31,0.216,0.621,1.83,0.87,2.76,0.0182,0.108,-2.48,-1.31,-4.16,0.00155,0.0392
Mpeg1,-3.51,-1.81,-3.67,0.00362,0.104,-17.7,-4.15,-4.42,0.001,0.0193,5.05,2.34,2.36,0.0376,0.21
Mppe1,1.28,0.353,0.756,0.465,0.8,4.45,2.15,5.02,3.72E-4,0.0104,-3.48,-1.8,-4.78,5.47E-4,0.0213
Mrpl42,-1.14,-0.185,-0.711,0.492,0.813,-2.39,-1.26,-4.02,0.00196,0.0296,2.1,1.07,3.41,0.00573,0.0793
Msn,1.77,0.822,5.8,1.13E-4,0.0121,2.4,1.26,8.85,2.25E-6,3.55E-4,-1.36,-0.439,-3.44,0.0054,0.0766
Mta1,-1.3,-0.374,-1.32,0.212,0.618,-2.28,-1.19,-3.58,0.00423,0.0463,1.76,0.815,2.43,0.0334,0.199
Mtf2,-1.63,-0.708,-2.69,0.0207,0.241,-2.08,-1.06,-3.61,0.00405,0.0453,1.27,0.349,1.15,0.273,0.547
Mtfr2,-1.41,-0.498,-1.48,0.167,0.562,-3.01,-1.59,-3.66,0.00369,0.0427,2.13,1.09,2.44,0.0327,0.196
Myb,-1.6,-0.675,-3.46,0.00527,0.124,-6.95,-2.8,-9.72,8.87E-7,2.41E-4,4.35,2.12,7.12,1.82E-5,0.00211
Myc,-2.42,-1.27,-7.03,2.05E-5,0.0041,-5.67,-2.5,-10.6,3.69E-7,1.59E-4,2.34,1.23,4.92,4.43E-4,0.0188
Mycn,6.85,2.78,7.32,1.41E-5,0.00325,2.25,1.17,2.85,0.0155,0.098,3.04,1.6,4.94,4.29E-4,0.0188
Myh9,2.51,1.33,4.96,4.11E-4,0.0301,2.42,1.27,4.61,7.23E-4,0.0156,1.04,0.0552,0.235,0.818,0.915
Myo1c,-2.27,-1.18,-3.23,0.00794,0.147,-4.98,-2.32,-5.0,3.87E-4,0.0106,2.19,1.13,2.3,0.042,0.221
Myo1g,1.63,0.705,3.55,0.00445,0.119,2.18,1.12,5.6,1.54E-4,0.00616,-1.34,-0.417,-2.33,0.0396,0.215
Naa50,-1.47,-0.555,-2.39,0.0358,0.304,-2.71,-1.44,-5.15,3.05E-4,0.00912,1.85,0.886,3.1,0.00994,0.106
Napsa,1.58,0.655,3.35,0.00636,0.134,-3.24,-1.7,-6.33,5.32E-5,0.00305,5.11,2.35,8.83,2.29E-6,5.64E-4
Narf,2.01,1.01,3.07,0.0105,0.171,2.67,1.42,4.31,0.0012,0.0215,-1.33,-0.41,-1.45,0.175,0.448
Ncf1,1.34,0.427,2.07,0.0623,0.379,-11.6,-3.53,-6.13,6.98E-5,0.00352,15.5,3.96,6.66,3.33E-5,0.00325
Ncf2,1.16,0.217,0.627,0.544,0.839,-2.96,-1.56,-3.44,0.00543,0.0533,3.44,1.78,3.91,0.00239,0.0495
Nck2,-1.1,-0.143,-0.226,0.825,0.956,4.11,2.04,3.77,0.00302,0.0378,-4.53,-2.18,-4.12,0.00166,0.0398
Ncln,-1.06,-0.0873,-0.291,0.776,0.942,-2.62,-1.39,-3.75,0.00315,0.0387,2.46,1.3,3.5,0.00488,0.0734
Ncoa1,-1.03,-0.036,-0.0737,0.943,0.988,3.14,1.65,3.71,0.00337,0.0404,-3.22,-1.69,-3.92,0.00235,0.0491
Ncoa3,2.02,1.01,2.8,0.0172,0.218,2.65,1.4,3.87,0.00256,0.0344,-1.31,-0.393,-1.28,0.227,0.509
Ncoa4,1.27,0.346,1.69,0.118,0.495,-2.17,-1.12,-4.44,9.72E-4,0.0188,2.76,1.46,5.89,9.89E-5,0.00722
Ncoa7,-1.58,-0.664,-0.89,0.392,0.759,3.76,1.91,2.9,0.0143,0.0925,-5.97,-2.58,-4.21,0.00143,0.0374
Ndfip1,1.83,0.869,3.35,0.00634,0.134,4.39,2.13,8.57,3.08E-6,4.23E-4,-2.4,-1.26,-5.79,1.14E-4,0.00745
Ndufa4,-2.25,-1.17,-4.52,8.41E-4,0.0475,-2.48,-1.31,-4.64,6.88E-4,0.0151,1.1,0.143,0.475,0.644,0.825
Ndufb8,-1.46,-0.544,-2.14,0.0553,0.356,-2.02,-1.01,-3.5,0.00486,0.05,1.38,0.469,1.59,0.14,0.401
Nedd4,1.19,0.251,0.856,0.41,0.768,2.06,1.04,3.6,0.00408,0.0455,-1.73,-0.789,-2.85,0.0155,0.133
Nfam1,1.31,0.392,1.34,0.208,0.614,-2.92,-1.55,-3.89,0.00244,0.0336,3.84,1.94,4.93,4.34E-4,0.0188
Nfatc3,1.58,0.661,2.72,0.0197,0.237,3.25,1.7,7.17,1.69E-5,0.00159,-2.06,-1.04,-4.92,4.38E-4,0.0188
Nfe2,1.1,0.135,0.47,0.648,0.89,-2.4,-1.26,-3.52,0.00472,0.0491,2.63,1.4,3.92,0.00235,0.0491
Nfil3,7.22,2.85,4.69,6.4E-4,0.0393,1.12,0.164,0.228,0.824,0.917,6.45,2.69,4.43,9.79E-4,0.0298
Nfkb1,5.97,2.58,12.5,6.89E-8,1.01E-4,1.15,0.208,0.858,0.409,0.644,5.17,2.37,11.2,2.03E-7,1.72E-4
Ngly1,1.13,0.182,0.526,0.609,0.875,2.69,1.43,4.36,0.0011,0.0202,-2.37,-1.25,-3.94,0.00225,0.048
Ninj1,1.24,0.316,0.976,0.35,0.73,-4.27,-2.1,-3.66,0.00365,0.0423,5.32,2.41,4.11,0.00169,0.04
Nkg7,2.9,1.54,4.07,0.00181,0.0727,3.54,1.82,4.79,5.42E-4,0.013,-1.22,-0.288,-0.914,0.38,0.64
Nme4,-1.28,-0.357,-1.33,0.209,0.615,-3.02,-1.59,-4.75,5.77E-4,0.0135,2.35,1.24,3.62,0.00394,0.0659
Nmral1,-2.27,-1.18,-3.2,0.00839,0.153,-4.06,-2.02,-4.32,0.00118,0.0212,1.79,0.839,1.68,0.12,0.373
Nnt,-1.06,-0.0861,-0.365,0.722,0.92,-2.02,-1.01,-3.68,0.00357,0.0418,1.9,0.926,3.37,0.00615,0.0828
Nop10,-1.45,-0.537,-2.55,0.027,0.268,-2.13,-1.09,-4.55,8.04E-4,0.0166,1.47,0.554,2.26,0.0451,0.23
Nop16,-1.32,-0.4,-1.5,0.161,0.556,-2.14,-1.1,-3.58,0.00424,0.0463,1.62,0.699,2.25,0.0459,0.232
Notch1,-7.09,-2.82,-8.13,5.14E-6,0.00177,-7.99,-3.0,-7.42,1.23E-5,0.00121,1.13,0.174,0.371,0.718,0.864
Npm1,-1.2,-0.257,-1.48,0.167,0.562,-2.12,-1.09,-5.45,1.92E-4,0.00719,1.78,0.83,4.13,0.00163,0.0398
Nrgn,4.74,2.24,4.6,7.45E-4,0.043,3.0,1.59,3.19,0.00843,0.0686,1.58,0.658,1.96,0.0757,0.295
Nrip1,1.16,0.215,0.787,0.448,0.793,3.2,1.68,6.51,4.13E-5,0.0026,-2.76,-1.46,-6.09,7.41E-5,0.00582
Nrp1,-1.24,-0.312,-0.35,0.733,0.923,3.86,1.95,2.28,0.0432,0.183,-4.79,-2.26,-4.61,7.28E-4,0.0249
Nrros,-1.1,-0.135,-0.672,0.515,0.823,-3.02,-1.6,-6.4,4.77E-5,0.00284,2.75,1.46,5.85,1.06E-4,0.00728
Nsmce1,-2.27,-1.18,-4.44,9.72E-4,0.05,-2.57,-1.36,-4.64,6.93E-4,0.0151,1.13,0.181,0.576,0.576,0.788
Nt5dc2,-1.47,-0.558,-1.76,0.106,0.472,-3.04,-1.6,-4.12,0.00166,0.0264,2.06,1.04,2.61,0.0242,0.168
Nup210,1.31,0.386,1.74,0.11,0.478,-1.64,-0.715,-2.77,0.0181,0.107,2.15,1.1,4.4,0.00103,0.0303
Nup62,-1.56,-0.639,-3.34,0.00643,0.135,-2.71,-1.44,-6.41,4.76E-5,0.00284,1.74,0.799,3.47,0.00516,0.0748
Nup85,-1.08,-0.109,-0.53,0.607,0.874,-2.5,-1.32,-5.29,2.45E-4,0.0081,2.32,1.22,4.83,5.11E-4,0.0208
Ogfrl1,1.09,0.13,0.46,0.654,0.893,-2.68,-1.42,-4.0,0.00203,0.03,2.93,1.55,4.37,0.00109,0.0315
Ormdl3,1.25,0.317,0.588,0.568,0.851,7.05,2.82,5.73,1.27E-4,0.00531,-5.66,-2.5,-6.49,4.23E-5,0.00387
Osbpl3,3.31,1.73,4.47,9.16E-4,0.0491,6.09,2.61,6.89,2.45E-5,0.00194,-1.84,-0.879,-3.1,0.01,0.106
Osbpl5,3.52,1.82,3.3,0.007,0.141,6.28,2.65,4.92,4.4E-4,0.0114,-1.78,-0.835,-2.49,0.0299,0.187
P2rx7,9.01,3.17,5.45,1.93E-4,0.0177,4.99,2.32,3.89,0.00247,0.0338,1.81,0.854,2.05,0.0651,0.273
Pabpc1,1.14,0.19,1.29,0.224,0.628,-2.13,-1.09,-6.22,6.21E-5,0.00333,2.43,1.28,7.37,1.32E-5,0.00165
Padi2,3.07,1.62,5.86,1.05E-4,0.0121,1.09,0.13,0.41,0.689,0.839,2.81,1.49,5.29,2.46E-4,0.0129
Paics,-1.39,-0.471,-3.15,0.0091,0.158,-2.35,-1.23,-7.14,1.77E-5,0.00162,1.69,0.759,4.34,0.00115,0.0327
Palm,1.28,0.356,1.15,0.272,0.676,-3.8,-1.93,-4.14,0.00161,0.0259,4.86,2.28,4.83,5.07E-4,0.0208
Panx1,-1.05,-0.0762,-0.274,0.789,0.944,-3.17,-1.66,-4.67,6.64E-4,0.0147,3.01,1.59,4.4,0.00104,0.0304
Paox,1.28,0.353,1.1,0.294,0.695,2.23,1.16,3.68,0.00358,0.0419,-1.74,-0.803,-2.8,0.0172,0.14
Papd4,1.94,0.955,3.28,0.0072,0.142,-1.71,-0.77,-2.18,0.0518,0.201,3.31,1.73,5.07,3.46E-4,0.0163
Paqr7,1.75,0.811,1.43,0.18,0.581,4.02,2.01,3.68,0.00354,0.0417,-2.29,-1.19,-2.74,0.019,0.149
Pdgfrb,1.12,0.159,0.611,0.554,0.844,-4.97,-2.31,-5.87,1.02E-4,0.00451,5.55,2.47,6.19,6.4E-5,0.00527
Pdlim1,1.64,0.713,2.18,0.0515,0.349,3.58,1.84,5.87,1.02E-4,0.00451,-2.19,-1.13,-4.11,0.00167,0.0398
Pdrg1,-1.52,-0.604,-2.45,0.0319,0.29,-2.07,-1.05,-3.79,0.00291,0.0371,1.36,0.446,1.57,0.144,0.408
Pea15a,-2.01,-1.01,-1.44,0.178,0.579,4.07,2.02,4.01,0.00199,0.0297,-8.18,-3.03,-4.73,5.94E-4,0.0222
Pfkp,2.23,1.16,2.84,0.0159,0.21,3.8,1.93,4.8,5.31E-4,0.0128,-1.7,-0.766,-2.33,0.0393,0.215
Pgls,-1.61,-0.687,-3.48,0.00509,0.123,-3.74,-1.9,-7.68,8.89E-6,9.28E-4,2.33,1.22,4.73,5.98E-4,0.0222
