Gene,B-A_FC,B-A_logFC,B-A_tstat,B-A_pval,B-A_adjpval,C-A_FC,C-A_logFC,C-A_tstat,C-A_pval,C-A_adjpval,B-C_FC,B-C_logFC,B-C_tstat,B-C_pval,B-C_adjpval
Cstf2,-1.5,-0.586,-2.33,0.0393,0.314,-2.11,-1.08,-3.81,0.00282,0.0365,1.41,0.492,1.69,0.118,0.37
Ctps,1.15,0.197,0.698,0.499,0.817,-2.42,-1.28,-3.55,0.00443,0.0476,2.78,1.47,4.15,0.00156,0.0392
Ctr9,-1.11,-0.15,-1.14,0.277,0.68,-3.01,-1.59,-9.83,7.94E-7,2.33E-4,2.71,1.44,8.85,2.25E-6,5.64E-4
Ctsc,2.01,1.01,4.89,4.59E-4,0.0324,2.64,1.4,6.73,3.03E-5,0.00229,-1.31,-0.391,-2.13,0.0565,0.256
Ctso,-3.75,-1.91,-5.35,2.23E-4,0.0198,1.23,0.298,1.05,0.314,0.555,-4.62,-2.21,-6.16,6.72E-5,0.00539
Ctsw,7.37,2.88,3.45,0.00529,0.124,12.9,3.69,4.49,8.93E-4,0.0179,-1.74,-0.803,-2.19,0.0506,0.242
Cttn,4.81,2.26,4.32,0.00117,0.0581,-1.31,-0.39,-0.565,0.583,0.774,6.3,2.65,4.1,0.00172,0.0405
Cyb561a3,1.39,0.477,1.66,0.124,0.505,-2.4,-1.26,-3.45,0.00529,0.0527,3.34,1.74,4.83,5.11E-4,0.0208
Cyba,1.87,0.904,3.19,0.00842,0.153,2.09,1.06,3.68,0.00356,0.0418,-1.12,-0.16,-0.633,0.54,0.766
Cyfip1,-1.2,-0.259,-1.04,0.32,0.711,-2.46,-1.3,-4.32,0.00118,0.0212,2.06,1.04,3.43,0.00557,0.0781
D19Bwg1357e,1.2,0.265,0.971,0.352,0.731,-2.12,-1.09,-3.27,0.00738,0.0636,2.55,1.35,4.11,0.0017,0.0402
Dapp1,2.08,1.06,4.16,0.00154,0.0683,-1.75,-0.807,-2.58,0.0251,0.13,3.64,1.86,6.23,6.08E-5,0.00509
Dbnl,2.11,1.08,5.95,9.1E-5,0.0115,1.8,0.852,4.48,9.06E-4,0.0181,1.17,0.227,1.34,0.208,0.489
Dcaf7,2.21,1.14,4.03,0.00193,0.0735,3.28,1.71,6.03,8.11E-5,0.00386,-1.48,-0.568,-2.3,0.0416,0.221
Dcun1d1,-1.48,-0.563,-2.45,0.032,0.291,-2.03,-1.02,-3.95,0.00221,0.0314,1.38,0.46,1.73,0.11,0.358
Ddx54,-1.02,-0.0273,-0.101,0.922,0.982,-2.42,-1.28,-3.8,0.00287,0.0367,2.38,1.25,3.73,0.00328,0.0589
Degs1,1.66,0.732,2.44,0.0326,0.291,2.54,1.35,4.52,8.39E-4,0.0169,-1.53,-0.613,-2.35,0.0385,0.211
Dek,-1.15,-0.206,-1.11,0.29,0.691,-2.02,-1.02,-4.75,5.74E-4,0.0135,1.75,0.81,3.77,0.00305,0.0564
Dennd1b,1.43,0.511,0.86,0.408,0.768,4.29,2.1,3.75,0.00316,0.0387,-3.01,-1.59,-3.46,0.00521,0.0748
Dennd5a,-4.29,-2.1,-2.34,0.0386,0.314,-3.04,-1.6,-3.89,0.00245,0.0337,-1.41,-0.499,-0.533,0.604,0.803
Dhx32,-1.06,-0.0784,-0.18,0.86,0.966,2.69,1.43,3.54,0.00456,0.0482,-2.84,-1.51,-3.92,0.00232,0.0487
Dhx38,2.02,1.02,3.11,0.00971,0.164,2.62,1.39,4.24,0.00136,0.0231,-1.29,-0.371,-1.32,0.213,0.494
Dirc2,-6.56,-2.71,-4.15,0.00159,0.0683,-7.98,-3.0,-4.08,0.00178,0.028,1.22,0.283,0.315,0.758,0.884
Dnajc3,1.05,0.0638,0.276,0.787,0.943,3.56,1.83,8.54,3.22E-6,4.27E-4,-3.41,-1.77,-8.68,2.73E-6,6.31E-4
Dnmt1,-1.51,-0.593,-3.51,0.00476,0.122,-2.05,-1.04,-5.48,1.83E-4,0.00691,1.36,0.443,2.3,0.042,0.221
Dntt,-41.5,-5.37,-21.1,2.49E-10,1.9E-6,-162.0,-7.34,-5.72,1.28E-4,0.00531,3.89,1.96,1.51,0.159,0.428
Dok2,1.64,0.71,1.66,0.124,0.505,4.12,2.04,4.99,3.93E-4,0.0106,-2.52,-1.33,-3.74,0.00321,0.058
Dpy19l3,-2.19,-1.13,-1.06,0.31,0.706,6.28,2.65,5.22,2.72E-4,0.00861,-13.8,-3.78,-3.56,0.00441,0.0695
Dtl,-1.56,-0.643,-2.8,0.0171,0.217,-3.9,-1.96,-6.56,3.83E-5,0.00258,2.5,1.32,4.28,0.00125,0.0342
Dtx4,-3.32,-1.73,-6.04,7.95E-5,0.0106,-2.81,-1.49,-4.94,4.25E-4,0.0111,-1.18,-0.239,-0.709,0.493,0.731
Egfl7,-12.6,-3.66,-6.1,7.3E-5,0.0101,-12.2,-3.61,-5.53,1.69E-4,0.00657,-1.04,-0.0538,-0.0652,0.949,0.977
Egln1,-2.65,-1.41,-4.21,0.00142,0.0654,-2.87,-1.52,-4.01,0.002,0.0298,1.08,0.111,0.268,0.793,0.902
Ehbp1l1,2.09,1.06,3.48,0.00509,0.123,4.23,2.08,6.99,2.16E-5,0.00179,-2.02,-1.02,-4.18,0.00149,0.0384
Eif4e2,1.2,0.265,1.14,0.28,0.682,2.23,1.16,5.07,3.47E-4,0.00994,-1.86,-0.891,-4.2,0.00145,0.0375
Eif4e3,1.26,0.33,0.661,0.522,0.826,4.93,2.3,5.02,3.76E-4,0.0104,-3.92,-1.97,-5.18,2.9E-4,0.0142
Eif4g3,1.36,0.445,1.38,0.195,0.596,2.2,1.14,3.56,0.00439,0.0473,-1.61,-0.691,-2.32,0.0401,0.216
Elf4,2.11,1.08,3.26,0.00745,0.144,2.69,1.43,4.27,0.00129,0.0224,-1.27,-0.345,-1.22,0.246,0.522
Elk3,-1.71,-0.771,-2.39,0.0358,0.304,1.39,0.48,1.59,0.14,0.354,-2.38,-1.25,-3.95,0.0022,0.0474
Elp2,1.06,0.0904,0.419,0.683,0.903,-2.19,-1.13,-4.34,0.00114,0.0209,2.33,1.22,4.72,6.08E-4,0.0224
Eltd1,-12.6,-3.66,-10.0,6.52E-7,4.14E-4,-6.27,-2.65,-8.18,4.88E-6,5.91E-4,-2.01,-1.01,-2.35,0.038,0.211
Emb,-2.28,-1.19,-7.09,1.89E-5,0.00401,1.21,0.276,1.76,0.105,0.3,-2.76,-1.46,-8.7,2.66E-6,6.31E-4
Emid1,4.78,2.26,5.47,1.87E-4,0.0174,2.29,1.2,2.74,0.0191,0.11,2.09,1.06,3.05,0.0109,0.109
Eml4,-1.01,-0.0187,-0.097,0.924,0.983,1.99,0.991,5.28,2.5E-4,0.00822,-2.01,-1.01,-5.53,1.71E-4,0.01
Eno1,-1.13,-0.174,-1.2,0.253,0.657,1.9,0.928,6.66,3.33E-5,0.00239,-2.15,-1.1,-8.03,5.78E-6,0.001
Enpp4,1.64,0.715,1.36,0.201,0.603,4.52,2.18,4.37,0.00108,0.0202,-2.76,-1.46,-3.45,0.00536,0.0762
Epb4.1l4b,1.04,0.0546,0.204,0.842,0.96,-4.02,-2.01,-5.41,2.05E-4,0.00745,4.17,2.06,5.5,1.77E-4,0.01
Eps15,1.5,0.582,1.4,0.189,0.591,2.87,1.52,3.78,0.00301,0.0377,-1.92,-0.941,-2.63,0.0231,0.165
Erbb2ip,1.78,0.836,2.91,0.0141,0.196,2.96,1.57,5.52,1.74E-4,0.00661,-1.66,-0.731,-2.92,0.0137,0.124
Erh,-1.15,-0.204,-1.04,0.32,0.711,-2.04,-1.03,-4.53,8.34E-4,0.0169,1.77,0.825,3.62,0.00396,0.066
Erlin1,-1.46,-0.548,-1.62,0.133,0.518,-4.96,-2.31,-4.79,5.44E-4,0.013,3.39,1.76,3.53,0.00459,0.0706
Ero1l,2.6,1.38,4.28,0.00125,0.06,8.07,3.01,9.87,7.59E-7,2.31E-4,-3.1,-1.63,-6.56,3.81E-5,0.00365
Erp29,1.26,0.338,1.48,0.166,0.561,-2.58,-1.37,-4.68,6.5E-4,0.0145,3.26,1.71,5.9,9.83E-5,0.00722
Esyt1,2.3,1.2,6.07,7.66E-5,0.0104,4.93,2.3,11.9,1.12E-7,7.79E-5,-2.14,-1.1,-6.95,2.25E-5,0.00245
Esyt2,1.2,0.268,0.825,0.427,0.779,3.93,1.97,6.54,3.97E-5,0.00258,-3.26,-1.71,-6.12,7.15E-5,0.00567
Etnk1,-1.23,-0.298,-1.29,0.223,0.628,-2.24,-1.16,-4.18,0.00149,0.0246,1.82,0.863,3.11,0.00986,0.106
Ets1,-1.08,-0.112,-0.116,0.91,0.977,19.4,4.28,8.07,5.54E-6,6.3E-4,-20.9,-4.39,-4.63,7.07E-4,0.0246
Etv3,2.95,1.56,3.37,0.00619,0.132,4.03,2.01,4.37,0.00109,0.0202,-1.36,-0.447,-1.31,0.216,0.497
Exo1,-2.69,-1.43,-3.95,0.00221,0.0812,-3.37,-1.75,-4.33,0.00116,0.0211,1.25,0.325,0.738,0.476,0.719
Exoc5,2.01,1.01,3.01,0.0117,0.179,2.32,1.22,3.58,0.00424,0.0463,-1.15,-0.206,-0.69,0.504,0.739
Exosc8,-1.48,-0.565,-1.8,0.0989,0.462,-2.63,-1.4,-3.77,0.00303,0.0378,1.78,0.832,2.19,0.051,0.243
Ezh1,1.24,0.306,0.71,0.493,0.813,2.83,1.5,3.63,0.00389,0.0443,-2.29,-1.2,-3.22,0.00808,0.0955
F2r,3.1,1.63,2.61,0.0241,0.258,16.5,4.05,6.64,3.44E-5,0.0024,-5.32,-2.41,-8.01,5.93E-6,0.001
Faah,2.34,1.23,3.41,0.00577,0.13,11.9,3.57,10.5,4.12E-7,1.65E-4,-5.08,-2.34,-9.84,7.82E-7,2.84E-4
Fam102a,1.27,0.349,0.83,0.424,0.778,5.86,2.55,6.67,3.32E-5,0.00239,-4.6,-2.2,-6.48,4.27E-5,0.00387
Fam111a,-1.53,-0.614,-2.54,0.0273,0.269,-2.34,-1.23,-4.39,0.00104,0.0196,1.53,0.613,2.14,0.0556,0.253
Fam129a,3.8,1.92,3.47,0.00513,0.123,34.1,5.09,9.77,8.46E-7,2.39E-4,-8.99,-3.17,-9.31,1.36E-6,4.32E-4
Fam134b,-4.62,-2.21,-5.53,1.7E-4,0.0171,-3.36,-1.75,-4.57,7.81E-4,0.0163,-1.38,-0.46,-0.994,0.341,0.606
Fam134c,-1.15,-0.199,-0.497,0.629,0.883,2.43,1.28,3.43,0.00553,0.0539,-2.79,-1.48,-4.04,0.0019,0.0436
Fam189b,6.96,2.8,6.69,3.21E-5,0.00544,6.77,2.76,6.6,3.63E-5,0.00251,1.03,0.0403,0.149,0.884,0.948
Fam20b,1.74,0.801,2.19,0.0505,0.347,2.67,1.42,3.92,0.00232,0.0323,-1.53,-0.617,-1.93,0.0791,0.301
Fam65a,-1.4,-0.484,-1.88,0.0872,0.442,-3.93,-1.97,-5.86,1.04E-4,0.00457,2.81,1.49,4.3,0.00122,0.0336
Fam69b,-3.77,-1.92,-3.73,0.00325,0.0994,-3.72,-1.89,-3.57,0.00432,0.0469,-1.01,-0.0202,-0.0319,0.975,0.99
